Year,Argentina,Bahrain,Bangladesh,Botswana,Bulgaria,Chile,China,Colombia,Cote d'Ivoire,Croatia,Cyprus,Czech Rep.,Ecuador,Egypt,Estonia,Finland,Ghana,Greece,Hungary,Iceland,India,Indonesia,Israel,Jamaica,Jordan,Kazakhstan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Luxembourg,Macedonia,Malta,Mauritius,Mexico,Montenegro,Morocco,Namibia,New Zealand,Nigeria,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Slovakia,Slovenia,Sri Lanka,Thailand,Trinidad,Tunisia,Turkey,UAE,Ukraine,Venezuela,Vietnam,Zambia
1997,40.076892048248816,NA,97.11605610257146,NA,NA,58.61911621164533,98.55470497037597,97.21240972012255,77.8007511923365,97.303048085757,NA,91.55329751426488,99.46507284692144,97.05256415502703,91.30763715184422,31.375898973241778,82.09904751597452,94.56438748422757,60.662505136420904,100,98.4919639811993,NA,79.43987157616161,97.71854412750072,98.58615781509431,NA,100,92.08276145158689,NA,NA,NA,NA,NA,71.62824594248367,97.42845594809957,41.190374866960425,NA,88.54356863463208,NA,48.99378882990666,98.55729348181178,100,84.36420223778515,NA,70.54220727460724,81.11782208169602,59.02736196810559,51.38230113309643,NA,84.79913622564673,52.05184799662443,NA,NA,100,NA,94.52478536991387,89.54707523664781,95.8830425254384,NA,91.14597120830908,NA,NA,79.76651444867795,NA,100
1998,34.184534858444195,NA,100,NA,NA,52.83310550927484,100,95.43818533504546,22.309333033922783,79.36889074998633,NA,54.690064910139235,97.51605626068198,100,98.22352370659273,30.148312066977255,91.41543102301583,70.32831103093028,56.46820026815059,92.47565436394167,89.17438855972325,NA,72.60215206249629,87.27167660343508,100,NA,100,94.98830942040186,NA,NA,NA,NA,NA,99.6542811357359,80.81441340831614,35.89275579175304,NA,95.78699314887167,NA,63.38669020443836,100,98.90851346181105,94.99658002443438,NA,68.05763948598859,57.76191980646787,48.485973733750896,40.75952893428788,NA,100,69.4640387535908,97.58028485557108,NA,100,NA,97.116496725577,54.2839023130391,98.66357120942556,87.56670910912501,76.55596342307794,NA,80.57309554010388,83.70225811113279,NA,98.21605010116889
1999,59.98336921256217,NA,94.89261873474292,NA,NA,71.66739451335822,97.68106875553224,83.74885602031571,72.40138524166717,90.9893359030408,NA,83.02615379225021,95.50731711883986,100,88.55593607958902,61.40671639929644,100,88.91983187880977,73.75929059203209,89.53798532349822,100,NA,81.80569721198852,81.16528238764313,100,NA,96.74434550438187,97.17987741620604,NA,NA,NA,82.65905287910688,NA,98.28474879732285,67.464346096678,55.01289076326504,NA,89.01113502313387,NA,81.35123390402215,100,98.61976074502363,99.62317058905901,NA,69.47459448414493,73.76668606545542,69.78563459614118,77.55397688247719,NA,100,88.60151264795815,95.0542265568655,NA,96.13979244665845,NA,100,74.52938203095366,97.28411349548773,89.88653335402726,99.0250992543753,NA,86.33530782645315,92.54780976380344,NA,98.56542814046571
2000,56.555122892363954,100,100,NA,NA,75.90023485286133,100,100,29.45900201208518,85.65637026291664,NA,67.82532797023528,74.43138809114707,100,84.83209707821798,51.47664276559668,100,84.34237028078289,58.95677433693622,89.34930633249665,90.26352298799078,NA,73.39187222934375,100,97.57341583021616,NA,95.58215063496446,100,100,NA,86.64041950320942,77.41329034886776,NA,78.47710335212662,79.29101431649786,50.23194415279059,NA,85.2193564731163,NA,82.80284308384248,100,100,98.74529366903668,97.76945073610378,80.7314114086562,82.87691681139319,66.66126202012387,55.4188210346622,NA,95.66366803348981,68.53022240787536,96.60233748313262,NA,89.45341718852194,NA,98.45141789062683,75.41686738467612,99.63761216724673,88.99578418847739,93.87607505950851,NA,92.40818641782822,87.34902166691482,100,100
2001,76.695152956948,100,100,NA,99.73545102193505,64.64327432104079,97.32874734867339,NA,94.1352093898669,80.71902426064284,NA,73.8792903959027,NA,97.04941300971514,60.526756098845816,51.11543432563618,93.56593490786605,72.47177455954153,61.021829646372105,94.48865712189884,83.30921061444525,99.14306625647276,73.51041261839045,NA,92.00441418553395,NA,100,99.73632670360747,100,NA,78.38825926246156,70.93853419115646,NA,80.39069303267422,100,63.8193847106881,NA,94.45144604821645,NA,63.97129205355794,100,100,95.0759511589644,91.83290960372666,80.53342723962254,93.28475176376095,76.00713036415631,61.67908382919551,NA,100,81.40424501161037,98.0605122571716,NA,88.68996364507213,NA,100,79.2146477567503,100,81.46106369242179,83.78268915412397,NA,100,100,100,97.31074391409808
2002,100,100,100,NA,99.5336917286639,63.28749669075711,100,NA,NA,97.54920595406557,NA,87.82329638019091,96.79601213875009,100,84.16097789509104,34.32903931220541,100,63.76659783364234,73.8738804942368,88.50109427337775,93.50772756736328,94.07537670007972,92.83621411391472,NA,92.35639050284891,NA,98.74599199606898,100,94.70420390280722,NA,83.2841579765366,71.45283715108751,NA,87.03089086741656,96.83968413951189,52.42537074548002,NA,90.52262519861154,NA,66.95040446462508,93.33573554308408,100,100,96.31287086933156,84.49611219727583,89.75976845031964,87.03067143614236,56.42302517024543,NA,99.37871211850774,70.62208374154001,100,NA,92.96659021938423,NA,100,71.63245702410045,92.21343371818003,87.8460784443251,93.65393596672205,NA,100,100,100,100
2003,95.07894021349179,100,100,NA,93.32132215710011,73.52737477132376,100,NA,NA,95.69333985445716,NA,93.64612647710673,100,100,84.129327673278965,53.30015352925118,99.94867649768175,74.13613491765531,92.57668557325452,87.24977814253256,91.31056148801113,84.96916966529358,92.04236812122663,NA,99.53662230232942,NA,96.88647441503322,97.65508754733845,94.35449534288894,NA,91.40714891255601,71.55986626630936,NA,70.84095754880174,100,64.12491485386795,100,85.54228488576155,NA,75.2343501931205,99.55078369017355,100,97.50870587419061,100,83.84962066264207,89.85262132592109,86.83203379683886,81.06296413645403,NA,92.58138770813935,94.83942786082943,98.40851764935418,NA,92.03437403099144,NA,99.76369248891423,87.46222848796776,100,81.43347477683186,93.9650916750023,NA,100,99.45374958463206,99.78802623081513,95.94901837694977
2004,77.87743275769373,98.7063508105559,100,NA,75.48537211468826,63.45506218411495,98.99618676543942,NA,99.33379534727528,73.09553285835486,91.66514147772594,62.66575272445123,100,100,65.27066612302453,55.75450999080339,100,55.22677040949825,67.46542565677474,85.33341214770385,80.0017552204365,70.90829774293911,76.50152435768652,100,100,NA,88.42541907741071,98.60635230547261,85.5406135201509,NA,63.81328094725194,77.72375539565077,NA,69.75933063725043,100,52.747538595552946,100,77.14200364272759,NA,52.2784802808839,100,98.51814616507967,95.03943684080734,100,85.62462024266661,89.10631234828152,64.88216556584865,73.73515808048437,NA,86.79582532220799,85.82285676798277,88.63641507294525,NA,78.68621399100542,NA,99.0315135320242,76.48936611419556,100,59.044458760506465,81.54975789054255,NA,100,93.54508071130692,96.07339971745618,99.98358896326297
2005,79.10622488709454,98.66334859565235,100,NA,87.20869549404874,68.41690468529971,96.59138321580312,99.41252031894824,90.70825860897739,89.50494791436498,89.37835143475846,67.79271221377954,99.64710096932276,99.43591615650782,79.72086098514892,40.992626285730125,100,65.96410442986777,69.24105387952953,89.37513695463018,85.54951351594724,86.18280793764977,89.61649623944076,70.06515075591797,98.90393988586312,NA,100,99.61191109084014,86.04244637380964,NA,91.11342639295454,80.41458950601606,100,85.36386178265185,100,60.40204764238622,100,69.65747765882759,NA,48.33747928625114,97.48681000984492,100,100,NA,84.27338037448762,95.2166511576188,53.54786233394534,86.06318971456713,97.78544767124482,95.73678566799819,77.16789306098354,97.75885252323617,NA,83.79102074229483,NA,99.38876565798532,81.34095274644876,95.85726920237188,79.36151738825565,72.85544663678833,97.7947216054172,97.3429360786319,100,99.11179000888802,98.80924939488585
2006,48.31900270278784,100,100,NA,86.14539037941258,47.82475385592011,99.59095325910386,56.70695530476777,97.96312256773685,87.71111299035317,77.60200389509178,47.17530848769418,100,95.64343115544509,75.8346792191534,21.231127514194327,100,40.20244462899634,47.79607010741081,92.42616033800824,53.99828724776119,42.709580295858714,81.00005912239862,100,99.7083477038225,NA,100,100,94.4926718965107,NA,87.9403891629653,86.7442571784608,98.89527736202724,95.07648490325613,NA,36.968687694395086,100,88.51310793829403,NA,76.66015013188796,96.38490867972335,99.66313224054745,98.7898822395654,100,90.74033928038746,62.318619571827305,47.930284525892894,70.13782998619241,99.87008730334274,87.97825352103105,38.10932186046103,96.78201249816945,NA,90.38569404869794,NA,100,77.6725510018381,96.63197707431566,82.00245370451323,46.69167255210363,100,98.16129261801748,98.18691483870687,98.54419807362264,100
2007,39.7961806123193,97.5246470180072,98.36462705486903,NA,88.12080773864938,50.76563491062732,94.63650313442248,60.80329427790723,97.38425698351746,79.8710313690995,55.94521205753774,57.97610368837378,97.09960381532534,85.12445449052099,74.43479002301665,21.476791563832887,96.06831991065556,33.84996144943725,42.8089790395181,51.65591796246085,63.76758331642767,32.97141418608492,53.691982943300765,100,100,92.48360523468749,96.06146845964368,100,75.78210881615057,NA,63.24923019093045,95.91295004086568,97.67974321175723,85.70318049593556,90.24045552074827,29.823364361453397,99.84104017603421,98.83175104701046,NA,38.91537120513748,98.97102696932625,99.46055159957855,98.65450494278053,100,62.44831743480327,48.84194284358656,36.18852550453795,51.36695367862956,96.07557649675302,59.252285804650015,47.275662653128315,100,100,93.53703458139728,NA,100,74.80803065377427,97.7182934911308,90.6162342802086,34.45688687904054,91.60922907600013,100,100,97.9506217429134,100
2008,40.52499040137116,77.30903414423173,94.61899547686733,52.556668999995935,56.501699340750775,34.31356334300643,81.10892723786417,52.35195490430707,81.16264104938136,39.022123574461396,40.61489508285827,34.33217810531759,95.94132275507552,69.01386338242561,47.27118882908221,13.644466906236918,100,26.479251003914996,32.82414966779883,94.38447126450535,45.65939972492058,46.480870771528984,61.82462335687847,80.2841943309899,82.6216650632163,66.45227423761717,83.96409990620164,94.87793935897633,63.210321316536465,63.38497422592725,50.52814762536823,51.808776498312085,79.3240067266747,66.76514265366009,73.56387719188037,20.29918556919499,92.05087969299072,56.86678707138311,24.595968573150817,24.745940047696593,98.74519060267775,79.95864394659914,100,98.07460176779789,44.428616217936025,41.75868461928914,26.372005444338463,28.828773563040578,81.37617774518822,36.95329700418962,34.912554760463024,89.52224385845288,74.27065757365028,70.55003344353014,62.77797481335005,78.88117704161685,48.209823261575856,98.26517691365181,69.20243067907344,40.95016504883373,72.79176849741707,86.04475195933249,99.51372983135198,85.78798514882853,89.41065185576974
2009,30.711514640019,95.65690678089837,100,62.37135031431006,58.95074470960863,45.29304633994688,79.04886166347858,65.02692281673201,67.00893142240521,39.8870851579604,59.32222913227341,41.497985923334625,100,73.69933670680692,59.4908705689565,18.65130545483985,100,45.62723269464447,42.75145202522784,72.40617432423333,54.33367737455983,52.3905270772674,54.0053289391075,95.32790232752225,96.90759990093028,67.6642565833365,95.64290436657168,92.69852287534097,85.51909225116219,98.02007893870541,64.28701614924282,63.42656565277548,76.69272313360518,65.28428889511834,97.26435781633872,26.68035901365533,100,78.38943749515124,35.427723291062144,31.800846271655892,100,91.4045638536897,96.83292275240102,100,48.709098792302996,65.28000421100627,32.78272075131442,38.35693942069458,77.81712117979325,52.46023719525742,44.59864643088214,67.83665136231883,70.5788020832127,93.35628239351766,73.18222923676088,99.24726170053802,54.32588225030979,96.35934337888288,62.88234832546927,38.632446565618835,77.57173783859437,85.90059001791936,100,83.9535224023536,95.71091827931343
2010,43.49228943784607,91.14057717287419,99.95380562490304,76.56092405997998,62.257978462572325,48.99771486538228,79.53824579657497,68.52937111956857,63.551427211060705,55.464443370364435,55.89596559613522,31.376175168070596,100,66.97734538443471,61.402118791770256,11.014274747685814,100,48.802391200884365,27.28889927627005,68.20821704353406,43.210591801791566,48.98826347748349,47.71971693165633,96.45294624260514,98.81883759649031,56.89849434183485,95.17650953982721,97.51305153609809,79.11423444125141,NA,45.25051269399041,73.41010846670594,69.94306011365225,70.18835875719336,92.40377856123861,19.287817859633428,100,67.00025325647665,27.520537713952244,37.00726820408369,94.38405393381021,81.35200693499162,98.97715755782325,98.96313643631957,47.002448566677636,58.3706712632511,15.729254331438536,31.851591368913358,84.1822867970514,41.83881572158632,25.900999437638706,73.17203634185103,62.024892634828355,86.26572634919219,94.40738991784828,100,69.95485156256971,97.52296124829248,78.19163796758129,36.44933485505002,77.08597760807285,61.807277196716704,99.35546341747212,90.52471219394646,87.00021936315294
2011,37.38756392078747,100,99.06635404474325,61.937161255658616,63.22244133311234,39.216642791144494,83.89784895664847,53.990857929984905,76.34892039582586,37.77570526459431,71.51815706580953,44.77264388699233,100,96.8173233291531,39.23681742603797,8.793560721019855,100,57.04945759266804,30.97574026810349,69.01008856143085,52.50678642854029,41.81552639207524,47.616553752418376,100,97.4374422662416,52.37116466553518,98.22974321366385,95.33924046964424,65.48462384474931,NA,50.98320506388937,26.689566990500357,70.26192934705854,62.73825776722097,82.64806512573422,21.647063158975342,100,74.22976090074387,37.63121273435167,32.74017527195059,96.5746559557927,98.47231169395357,92.19975336407524,100,74.43239391745745,49.03060214893375,16.75095833253475,36.639518457479994,86.90639108561416,36.655159097611204,32.87792416859674,97.83710891987488,64.64078848210619,74.31687932213607,86.06865867045971,97.9384537668499,52.56113874324707,100,91.52149008609966,55.35552166179368,81.52846407112457,36.01019888892267,95.89624164307193,97.40081701019861,94.9279873949109
2012,72.51516679179674,93.26602171697607,100,37.709520961388506,68.47383921962982,38.935306956258074,82.89738168163468,66.49955419457757,73.85965333709323,47.04861420896505,88.0904383142902,55.09987488347869,96.84448267016926,97.78355312989349,51.36140734111707,11.492404744064,100,76.53911636908914,34.31451412804296,72.73547399916168,61.16638067187854,54.71124653283776,61.7199630088909,100,96.72625943653037,85.27476056189417,96.12072198736541,97.99314221068623,61.96423455329252,NA,41.50369895995753,40.06290439028566,90.8581769863542,71.63179423929515,94.49883531235118,38.805639506774384,99.96132165009081,82.35721081373406,36.29682865554547,47.85706162443029,98.74470051377887,96.53629653674287,96.0588404390559,99.80711529311269,49.825264802359925,61.34132252097552,20.833655358922233,46.473849038711116,92.90627620721193,47.49195166221811,35.651460239224164,93.03771106777997,73.26927653709122,88.80957798736945,98.06316365591266,100,58.56903509096662,100,74.7931291698211,51.96234267543019,83.407801816291,41.534273914133216,100,97.58493226962635,100
