Country,Year,LHS_div_eq,TED,VIX,SENT,FEDFUNDS,INTERNET,ERM,Euro,US_bond_spread,Credit_to_GDP,Market_cap_to_GDP,Num_public_firms,Trade_to_GDP,Turnover_Domest_Total,Agg_Fin_Risk,Agg_Econ_Risk,Agg_Pol_Risk,Life_Exp,Internet_Usage,Equity_Liq,Dev_PC1
Luxembourg,2003,82.988362164,0.21,21.98,-0.56,1.13,12.1399683529,0,0,1.18,69.1581840239,126.3078100901,44,254.101052437,0.7580650043,42.75,44.5,94.5,77.72682927,54.55,0.4793863527,NA
Luxembourg,2004,86.4390284087,0.25,15.48,0.02,1.35,14.0327318252,0,0,0.9,66.5962044173,144.5672265845,42,281.2083939282,0.790709872,43.04,44.22,93.13,79.12195122,65.88,0.4401487758,NA
Luxembourg,2005,93.4896878197,0.41,12.81,-0.02,3.21,15.6291589559,0,0,0.66,71.8656430147,137.2208437703,39,297.7729742293,0.4423551872,42.79,44,93,79.43170732,70,0.4111336032,NA
Luxembourg,2006,93.846326353,0.47,12.81,0.11,4.96,17.411462466,0,0,0.95,75.5343820161,187.4687659193,36,320.5982617657,0.302300563,42.67,44,93,79.28780488,72.51,0.3585470085,NA
Luxembourg,2007,96.0292407947,0.94,17.54,0.03,5.02,20.3581214237,0,0,0.94,86.3743280424,326.3589870709,34,332.5048493269,0.1469249389,42.46,43.54,93,79.38292683,78.92,0.3134796238,NA
Luxembourg,2008,54.0290757233,1.55,32.69,-0.21,1.93,23.0514567079,0,0,1.21,106.1434727928,119.2750293304,33,343.5618283303,2.688084152,42,44.12,92.75,80.53902439,82.23,0.2702984039,NA
Luxembourg,2009,64.0074261141,0.54,31.48,-0.02,0.16,25.5958603885,0,1,3.09,106.6379507837,204.4911021825,30,295.9728062002,0.2673820463,41.08,43.39,91.42,80.63658537,87.31,0.2905491699,NA
Luxembourg,2010,74.1272772639,0.21,22.55,-0.12,0.18,29.0941327557,0,1,0.99,90.885984533,190.0466320272,29,316.1614002276,0.1758356594,41.92,39,91.5,80.63170732,90.62,0.2873563218,NA
Luxembourg,2011,28.7755115999,0.28,24.2,NA,0.1,31.7488501299,0,0,1.05,86.4364785941,112.7036692599,27,323.4496073476,0.1814796424,42.92,40.71,91.5,80.98780488,90.02985856,0.3193919414,NA
Luxembourg,2012,37.1446846191,0.34,17.8,NA,0.14,35.2826985799,0,0,1.38,88.1572276266,124.1018162655,25,341.862022196,0.1634242927,42.63,43.5,89.83,81.39268293,91.94992374,0.1743295019,NA
Macedonia,1986,NA,0.86,NA,0.44,6.81,0,0,0,1.39,NA,NA,NA,NA,NA,NA,NA,NA,70.09495122,NA,NA,-0.9393981626054393
Macedonia,1987,NA,1.41,NA,0.06,6.66,0,0,0,1.36,NA,NA,NA,NA,NA,NA,NA,NA,70.41295122,NA,NA,-0.8852085526352573
Macedonia,1988,NA,1.31,NA,0.06,7.57,0,0,0,1.19,NA,NA,NA,NA,NA,NA,NA,NA,70.69763415,NA,NA,-0.832011196779107
Macedonia,1989,NA,1.18,NA,-0.3,9.22,0,0,0,1.03,NA,NA,NA,NA,NA,NA,NA,NA,70.942,NA,NA,-0.7776167243642413
Macedonia,1990,NA,0.79,23.06,-0.59,8.1,0.0495818521,0,0,0.95,NA,NA,NA,61.6768501672,NA,NA,NA,NA,71.14763415,0,NA,-2.464310439881131
Macedonia,1991,NA,0.61,18.37,-0.25,5.69,0.3316229736,0,0,1.41,NA,NA,NA,48.7869632785,NA,NA,NA,NA,71.32565854,NA,NA,-0.670742870789498
Macedonia,1992,NA,0.4,15.45,0.01,3.52,0.2779049818,1,0,0.93,NA,NA,NA,107.6976455211,NA,NA,NA,NA,71.49473171,NA,NA,-1.708029288885386
Macedonia,1993,NA,0.31,12.69,-0.12,3.02,0.2533874585,0,0,0.76,59.3379225135,NA,NA,101.4442843917,NA,NA,NA,NA,71.67092683,NA,NA,-1.8875841041149215
Macedonia,1994,NA,0.5,13.93,-0.06,4.2,0.4496351664,0,0,0.73,45.3469390543,NA,NA,86.6039656032,NA,NA,NA,NA,71.86031707,NA,NA,-1.2840075295614772
Macedonia,1995,NA,0.55,12.39,-0.01,5.84,0.782955693,0,0,0.62,23.1127433254,NA,NA,75.779312245,NA,NA,NA,NA,72.06680488,0.04074384,NA,-1.211793777644362
Macedonia,1996,NA,0.51,16.44,0.45,5.3,1.331586128,0,0,0.66,26.5387040551,2.2161115747,5,66.6972392432,NA,NA,NA,NA,72.29229268,0.075995734,NA,-1.1433541772397402
Macedonia,1997,NA,0.68,22.36,0.2,5.46,2.0361346016,0,0,0.67,27.2612604737,0.2141721948,4,88.1620181818,41.581509434,NA,NA,NA,72.52914634,0.503985009,NA,-1.0476005820393939
Macedonia,1998,NA,0.79,25.6,-0.04,5.35,3.1207351548,0,0,0.58,17.7101166038,0.2240241792,2,97.2919581791,1093.375,NA,NA,NA,72.77034146,1.002861666,NA,-0.8512151023674641
Macedonia,1999,NA,0.77,24.37,0.38,4.97,4.5950012944,0,0,1.05,20.8654986247,0.2088945775,2,94.3255142334,348.2674357028,NA,NA,NA,73.01046341,1.49733026,NA,-1.074014564812536
Macedonia,2000,NA,0.71,23.32,1.79,6.24,6.6909073337,0,0,0.55,16.9546262558,0.1881865785,1,80.1601473581,1612.942267469,NA,NA,NA,73.24219512,2.485566316,NA,-0.6387753373759454
Macedonia,2001,NA,0.38,25.75,0.85,3.89,8.0108140021,0,0,0.78,16.3043349063,1.2400132333,2,71.4778143609,177.1174140858,NA,NA,NA,73.4557561,3.468184608,NA,-0.6137071450733289
Macedonia,2002,NA,0.19,27.29,-0.58,1.67,10.4589434184,0,0,1.32,16.6694382031,4.53074258,78,71.5338713981,25.0244216771,NA,NA,NA,73.64734146,17.33,NA,-0.42030234233507463
Macedonia,2003,NA,0.21,21.98,-0.56,1.13,12.1399683529,0,0,1.18,17.5560302798,7.3121344105,98,71.069320491,4.0427953018,NA,NA,NA,73.8155122,19.07,NA,-0.3391171009112677
