Year,Div_world_mean,Australia,Austria,Belguim,Canada,China,Czech Rep.,Denmark,Finland,France,Germany,Greece,Hungary,India,Ireland,Italy,Japan,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,South Africa,South Korea,Spain,Sweden,Switzerland,UK,US
1996,47.93494388703939,80.58489927665046,6.779715522884211,18.253528905766935,72.46033547945045,NA,NA,16.385415184793217,64.54112014235864,41.46834933078837,10.490597622107533,NA,NA,NA,30.9032140657046,83.7408797410406,NA,NA,23.98428854539578,89.31051374381116,31.70657654144964,NA,50.18804434728492,NA,NA,56.52364954862771,91.40787564244197,46.585619908239416,29.500055064805288,65.9492552401475
1997,40.352715408083554,90.32186212265901,12.915355102947368,9.923137238307223,68.89850087842497,NA,NA,11.140348906624808,27.23249857895248,22.246345379921895,11.342635861732441,NA,NA,NA,46.11281244893474,47.40153638378074,NA,NA,12.106867990169745,84.26427259310333,58.6275956097975,NA,23.407125661175222,NA,NA,22.717270536796207,58.42050294930139,35.86550688663479,66.5703228502826,57.18709477404103
1998,32.73899399782699,83.90970332351613,8.27472465242467,6.905890567833772,70.36381622203164,NA,NA,13.961474007553832,5.600276870038634,13.521454637069318,5.497386873729315,NA,NA,NA,16.46803316432606,6.392272497858153,NA,NA,7.783178459309625,89.71177608934468,49.196168838545226,NA,6.396417111664087,NA,NA,12.640970450685762,69.67880542943486,29.39679753700397,56.477859075189954,69.86388015115304
1999,36.260411561319216,70.75999584988021,14.456514546930011,11.783954206066948,75.50292953587284,NA,NA,9.757973544605225,10.748165341018334,26.490618602548977,16.098435714581647,29.314115950780028,85.16236686037352,NA,19.320481374771347,10.832220644829793,NA,NA,9.651885669849335,77.05656799528626,48.0081013642029,NA,43.751853360157554,NA,NA,16.392906864220823,39.35827207952912,20.077203446471724,57.62467415646282,69.31940567926405
2000,31.167157153512424,76.86258353062748,9.914824149628732,7.0678845397873165,78.76839566884472,NA,27.444604459330723,5.737114297627777,8.49787562520181,25.493072961610984,8.682664704721066,6.374890516062903,61.24512436013189,NA,16.70478352466347,4.755796458892203,NA,NA,7.782162082783151,74.93287197517236,18.668037784376533,NA,10.126791648893008,62.7204335907378,NA,5.7152087905795295,33.549569306806774,28.449108349806117,60.91800828495493,76.4328079195445
2001,32.118164103178124,62.64891426566267,3.808806004655485,2.7309736790733896,67.60846837617686,NA,52.140394941073765,8.874052187441162,2.493990393878054,3.48533561320139,4.060185749702772,4.183417086160235,63.834049656075756,NA,2.8707373246803947,9.170998209681624,NA,NA,2.467361146504199,70.15513882390034,32.213943524237365,97.7225159530115,2.6491188362641305,99.94394864407832,NA,2.701416163662551,42.73200084030935,19.251427761265695,46.55518511374348,66.53355818183442
2002,33.31605855074568,81.05531406378097,4.720037729965432,3.861328988182944,85.22878404517766,NA,54.79760473709854,14.340287631207104,3.5102053845824877,5.664133594228204,4.04081219019794,3.598431527138768,58.493715127018795,NA,5.794247109286954,6.686216266754819,NA,NA,3.7949192707919077,80.18272702193399,30.24214698276949,89.44556994404473,4.040077691271127,100,NA,3.63475787623041,38.542035661334765,17.961724766427523,27.296934231107826,72.65339337736395
2003,28.15964671034459,58.12450125783657,1.4009468571198336,1.269183649025707,57.90010003658248,NA,24.017207896618544,13.964520445073703,1.1866654549907096,1.1531227564469004,1.2877124121545958,1.2381199089802175,81.7680788798244,NA,2.3484797713006933,1.2638668673415565,NA,NA,1.2810521852357537,67.7581884313475,40.38496821484827,82.2979027040783,1.2972173886268257,90.10034364115323,NA,1.2720328568121442,19.84389794116732,21.556349073834912,32.89289194742091,70.22417047044904
2004,21.47964783041695,37.353281606255415,0.44509033824956523,0.43880906147850673,50.39301683281911,NA,22.854074738203067,4.9326182718867795,0.47312843213080935,0.27386372126271263,0.1940987233359337,0.42972124972084913,67.86707591461462,NA,0.35547604850351133,0.4293942707655929,NA,NA,0.4495391287736239,41.77879813263126,29.88685296818787,69.67298480174964,0.458309907088561,73.93659248838213,NA,0.41655804723867984,14.478817767152297,13.587435316286623,25.10342127859213,59.30258888469753
2005,24.424052940851652,44.0774903106512,0.8036259921890831,0.5775284213923593,68.186553708779,NA,34.01857874625544,11.316756776569637,0.7068692831577628,0.9967246073728897,2.611332727390747,0.8224945172282339,67.8580748898297,NA,0.994496948708179,0.8000047638823005,NA,NA,0.6591692337848287,51.98125897728894,26.742910780440422,60.00942053876622,0.9007605972404797,57.21046123527699,NA,4.992336995113589,17.463059050390317,25.27907449589062,26.12600727519785,81.04227970764286
2006,29.464657257514475,51.1005010576778,2.4909933796281147,2.0155508502995967,75.09073748133737,NA,37.54199325426787,15.278935495641177,1.8741787476705296,2.5077575788331363,2.1141938591357934,2.017209820223076,83.87513573154976,NA,1.8863867328080763,2.2180000033470426,NA,NA,2.1130667103037015,84.43139747353706,44.55015945330937,63.9242559415922,3.169045077553978,82.01121509599584,NA,2.2974645459503007,25.05557268784746,24.6794408077982,20.83599587446664,74.07258651957329
2007,37.39694349823681,65.45078473744584,1.8908825980989863,2.051348949053655,81.98001879588719,95.80215739238149,46.997884465959686,20.60729872295464,1.685510098398868,1.2314203769051346,1.44230604469473,2.3065278551052892,71.6256395561698,98.45340206620715,1.56646484455929,2.3815343231308628,NA,NA,1.5659050332849422,77.94901536170694,47.402778244074796,68.25075253376845,2.29449387831715,84.24646097380048,NA,1.8886116779579187,31.076347902392286,40.68523764758466,36.165690174979034,85.32205669933772
2008,33.66592481717706,46.62528913993425,0.9314675800947914,2.1386778917677263,60.05392593995342,97.13264405233133,43.79004825727107,23.321941749342436,1.164784366619942,1.736825025538835,1.9098060984075849,6.42117039030341,63.42384181954854,97.27017567520497,2.0165055694774114,4.91975988692106,56.938505373473866,NA,1.7490280670904856,52.50450674811103,33.14733876226688,49.614698459978214,3.0279564162302153,63.18304024023627,NA,2.7163890271625024,28.101613437503048,28.592929702803293,47.62261033447884,88.92449005172921
2009,35.63452891953464,37.8323226732903,4.009401579030625,3.4542801919834165,76.80953988690088,98.21176918421261,47.98330913218463,15.525384741535797,2.8749638744250294,2.0892062875607076,3.972337226492506,20.42066966511975,61.42766068499766,88.55252706902131,19.712820386197862,6.65392097963754,42.93865297162904,NA,2.6667910840021625,49.45343326778544,35.49885404235267,50.25923302588943,6.759708732178938,67.79487575688835,NA,4.778538189189218,33.98242579273776,25.818454084199605,59.47177167728126,93.17942864071081
2010,39.48674929251072,47.73243549231423,5.803001421641529,13.885930868106101,82.14999238124729,97.494045821749907,30.55504747770932,11.305686396563408,7.531272282736645,4.046755193107721,5.108841478992665,48.680425292718986,36.26575369478322,87.70723918871387,50.230595687286716,14.828801623750332,44.754663550531994,78.36638608452844,9.868061531569783,54.4923025392403,35.190049886762374,33.51972074842073,24.164468871506273,56.305919201541386,NA,17.685203130803018,34.414494987064955,43.444717014677515,50.2760412801316,79.82112706209992
2011,49.17094246110515,53.565477736961476,8.37383133565649,17.752774319035815,87.31912729579928,100,33.77353741213787,26.35858707319454,11.950058102480654,9.796017205783404,27.208054597659583,77.33261474875441,36.318091539053754,83.58597839625992,67.06944528267549,41.160771898995264,79.96358047151513,53.60761057822155,9.45213133303493,58.72947123908975,50.32772737978261,28.603373236171905,58.201777061683536,46.53477202181682,NA,37.614925682838816,38.14173254995422,79.77195133421155,66.67508518408154,87.59788389409378
2012,48.27694699901419,62.83775158740226,15.065669856990304,13.027540926253012,78.02521615141397,96.66581571823559,36.290460486834895,30.62205986746649,12.736772074319925,13.931989620793129,17.54691660149865,87.79972282091255,55.70223518391053,86.49226781023515,46.23595895143578,28.365550618387147,NA,60.03148475730606,15.105267267020972,50.55055110621591,47.23116621934952,27.467997951637724,85.06787045426717,60.87001267468237,87.05958292511707,39.16888392559219,56.45535319687427,20.592308457466714,58.554420726415145,62.25368803436291
2013,41.71971167312076,69.91994354131683,2.362212710918965,4.330490704515865,50.90998007333025,100,35.44923738308016,7.8627595399415995,4.204806951543794,4.099134941796089,7.884053307159555,74.54953466222611,60.397022283059144,92.37273506688234,27.351307574312813,30.998181148027793,NA,69.11990896159463,3.1905728763833796,63.07724989632138,37.53361523671539,39.14587679072914,56.27524549547148,81.22764790829883,74.5855863102536,27.288168001137393,21.555755302912893,29.413388284021202,39.033874862792885,54.01363703263792
2014,46.77147364851311,72.60900016818118,5.820667280363711,3.4524083750199996,63.23306676267093,100,NA,6.734752205041927,2.743480807777643,5.702849092524554,5.138547605277033,78.88334273295983,84.59281101513304,99.46947941366552,33.883972538334305,29.524687843828957,NA,79.09464401224206,1.685467498684079,60.17751940246306,66.21432641234505,63.479924152477594,49.55835747815187,80.12757127395395,87.39300201123854,30.491346701995738,44.11246821831018,17.258914972506567,45.57725707310594,45.869923461600656
2015,45.980106968294606,63.347294750103686,4.054091080810851,3.2950478716301412,56.444021858540474,97.88148099185207,NA,13.128742097397927,3.944317906519068,3.5301365176912403,6.036410084760746,80.25303498815425,59.20898471546868,85.69682959129909,12.769814253928546,27.035869494668173,NA,74.73377640641277,4.986295820222841,66.15089340936146,50.125467829907045,54.3850125254683,37.66946360966721,86.86938625129721,85.61862402961923,30.28694078078654,30.792096387018432,90.46311776455059,47.17455062585525,65.58118650096254
2016,37.670003264554055,56.969178615715435,6.313068913276332,4.442881357541994,68.59260564906758,NA,NA,6.4134270542140825,4.776815398685564,6.183070636204313,6.820721202591439,64.70980785336323,40.46797672625968,94.52097045769398,12.900092664234064,15.063650219081914,NA,72.52998910952952,2.95286368253721,55.786990022440506,24.741448332713222,38.58757136362598,39.634285955230574,67.30407070750078,79.1177043887083,19.874322288665947,27.65522845557986,28.937979037900476,56.3501716994878,77.77319308655571
2017,40.85378094551866,59.45495508479476,9.552076897343865,6.716164741158237,58.80410330794085,NA,NA,6.79732555978253,5.639108920280378,11.402182269388128,5.987161207031022,80.39894154140072,40.19216111296484,95.94188273949091,8.931573944986704,18.70093310715182,NA,91.24670159263883,4.5875936863299716,62.18462310271357,33.36936031813351,37.265494397145304,32.635443536510714,88.32360647417642,92.24256843473387,18.868616530131476,46.611782625151186,34.502441015549,54.55170349779114,57.289798938765344
2018,45.471000585519036,58.729436257215404,19.505060368753835,8.701053885971533,71.04120171050198,NA,NA,9.385445821015503,4.840245383153919,8.615364229115652,8.324500672981316,68.64648545701488,55.28329984318327,99.09824459267021,9.293794642454678,65.04772821293248,NA,80.60792901629068,4.996808769278571,65.75233012734527,NA,39.45775979799087,40.81375151194647,78.83924852816973,87.04459455407715,32.25459674475084,55.687788793808416,46.85195524814743,47.96964280974252,69.98674765946326
