Year,World_mean,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Botswana,Brazil,Bulgaria,Canada,Chile,China,Colombia,Cote d'Ivoire,Croatia,Cyprus,Czech Rep.,Denmark,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Luxembourg,Macedonia,Malaysia,Malta,Mauritius,Mexico,Montenegro,Morocco,Namibia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad,Tunisia,Turkey,UAE,UK,Ukraine,US,Venezuela,Vietnam,Zambia
1998,69.25973454034724,34.04508088696468,53.09201746859878,46.38422678930105,NA,100,39.736201968413724,NA,69.15770447384061,NA,46.35069981496007,52.81814273433228,100,94.6958400108807,22.35501841436809,79.07984647795901,NA,54.40086000869984,98.37251413936805,97.12317403345033,100,98.53018475850931,30.049236590108997,21.040532840091487,27.592067798609765,91.37044662990533,70.21803698342782,47.59647431034595,56.80405039657923,92.15552113906156,88.97429730667133,NA,54.54347907206759,72.37094031799721,33.10736564961218,86.87526098900122,66.98972750303261,100,NA,100,95.08060519461392,NA,NA,NA,NA,NA,82.91593124878047,99.6753524714922,80.34123339849285,36.0321700104504,NA,95.41767838620437,NA,23.510116464124785,63.56958253255859,100,45.9292090091293,98.65369525950459,96.820051086979,NA,67.96188622952693,57.59065173037844,49.06582668358919,41.358349122483574,NA,100,69.6444044301629,97.04279606649476,NA,44.73203462351903,100,NA,51.45910511235149,94.1454253910922,31.62240814977334,96.85192809687615,34.76930567101346,28.574013753680028,72.67921381376864,54.53865893551275,98.83893478145987,87.2629926740011,76.24180474939969,NA,36.184102715281284,81.35837244833426,50.9498652677881,83.73359906645618,NA,97.80116374287373
1999,79.63565374545655,60.94077880076848,68.98341419312084,70.65859928363761,NA,94.50080188859987,51.666638138538815,NA,77.68726540113441,NA,68.45012099816056,71.36368516355282,99.09041285275303,82.96041099824197,72.44417398605279,91.02116570720258,NA,82.828159261736,91.76506523215531,97.26770508937813,100,88.12220920106853,61.66919917914544,27.60959273136293,39.44663701969638,100,88.84558466333793,62.364029872457735,74.71680096626953,89.07583147786433,99.72835044043717,NA,78.6148225776489,81.52798946574117,46.85339419235214,82.01194692102408,85.15913464759912,100,NA,96.44764939433227,97.72709975982727,NA,NA,NA,83.06248588343632,NA,96.7220014866119,97.6735825824597,67.24421853458179,54.68053843386546,NA,91.11596735677064,NA,32.08485989292886,81.02048920758604,100,67.70692557683174,99.22947105085657,100,NA,69.36750060903883,73.95867287083117,69.29236526909348,77.40074808611736,NA,100,88.84369309882624,95.56151558913865,NA,70.79202572782367,95.87799614261728,NA,71.0065440906313,90.70851606415918,41.523649226873125,100,53.1199123635181,43.20579033175316,95.16445749438583,74.30401061007753,96.86452541279903,89.55605172850416,99.51532056265332,NA,49.69953693827042,85.99139152495961,78.7821279765316,93.04790864156149,NA,98.45794605612365
2000,76.51512605097001,56.87118748615242,61.331820423816566,53.800765713696144,100,100,71.59178558984746,NA,59.67782700331509,NA,55.97443342185371,76.06114695394027,100,100,47.04435285353698,88.04807990152145,NA,67.45104628711181,90.76963952287858,75.96913678402916,100,85.04754109042611,51.12079514501821,21.25197387773534,25.40954923669416,100,85.28627190492611,46.65192344910503,58.83149047615056,89.05368587626108,90.84092874458806,NA,68.79710572240168,72.93290120610084,33.097923298297324,100,81.09122348263507,98.95703308862086,NA,96.87418177305005,100,100,NA,85.01022969233073,76.66793771690472,NA,89.98130678771163,79.66493016513618,83.83270296754623,51.352646559756934,NA,85.82323805914949,NA,23.841145478788373,82.27228206911512,100,51.53816390222398,100,98.92793721723817,99.02070618254945,80.35560654831043,83.64928312754255,67.27994702689269,56.026108706967605,NA,94.84932665183268,68.24907703566751,97.58737996999068,NA,61.65074747589823,94.0667184531901,NA,58.92840226020386,68.27904582389766,32.87062194918582,98.75264312314465,50.59241316609353,47.03767375662591,94.18715274679559,75.44425444435052,100,90.06526866765797,93.64945141038407,NA,45.768154791682925,95.52041988110663,54.381010752783155,88.18989499135445,100,100
2001,74.63085696427818,78.96847321692607,63.50404004087142,54.3822175389025,100,99.86122314299047,32.317291167401805,NA,76.40120638523572,99.25325349612324,56.108382351924824,66.26631131744234,97.33750145767664,NA,100,80.39504222011604,NA,73.54479023429661,57.218635144148976,NA,96.63078465409583,60.81907560395968,50.909339346504076,12.92063944684092,20.710816811767074,93.32263519120949,72.31594301222631,53.96594013060875,60.87873823633395,94.08909151704452,85.04096258179399,98.80315448036716,50.19711226507779,73.39637979163045,19.15004392299987,NA,71.12705102631953,92.11530709287456,NA,100,100,100,NA,78.42152050211357,70.54577825994195,NA,82.84771707922152,80.72330911160248,100,63.91304591536427,NA,94.07250694139145,NA,18.49453496382303,63.717975620881454,100,57.434737899052045,99.76275255604779,95.97232092622299,94.05017715112562,80.69258280397143,93.21461105709574,76.1179390357316,61.48038396410976,NA,100,81.11007825608971,97.95090035596957,NA,58.22370449142051,89.05436415354458,NA,72.01530403274104,56.604641729008556,25.421257418761776,100,38.92430887120193,30.088211912731833,83.80567375828238,80.37898122795889,100,81.49860103980281,84.06655511785624,NA,28.01538319617012,100,39.8988573951896,99.94880257328667,100,96.89537017744024
2002,75.00575785047037,100,51.29171683659221,71.81823771569744,100,100,20.724753107135285,NA,86.57618401320047,99.90393921086753,36.85932328290731,63.296453161365974,100,NA,NA,97.19335640063905,NA,87.43822745050814,45.97743744967124,97.74673406575978,100,85.03834648296117,34.30409810290036,6.622314268316787,22.315418945353137,100,63.329661356861855,60.10789520526304,73.29722890157939,88.20303245977286,93.2207662649031,94.77007503902108,52.81686076868315,92.46902531867165,17.305542029590328,NA,79.53261429440775,91.89551777592409,NA,98.48450941961293,100,95.47971892745426,NA,83.64222249305487,71.1797441780895,NA,81.70795137100522,85.87051568242958,95.77233775335256,52.68968982906153,NA,90.28740618100755,NA,10.918348044767567,66.24868293395288,93.40730818187754,49.99696193960853,100,100,96.08839073158245,84.14409619994339,89.57856899455447,87.19671710599113,56.11467730274966,NA,99.63971395934367,71.6009125886712,100,NA,59.43828549462926,92.8912679154127,NA,80.91190252006642,56.51901251852032,22.016868753613817,99.56651364988195,27.06426947025873,23.055866385759472,70.61995871585631,72.95575525543188,93.35762694687313,87.5381402871578,93.25809906950798,NA,22.908381143561364,100,49.22665693208192,100,100,100
2003,78.35280855151852,96.17348790502105,63.76200790823589,72.62284675700438,100,100,30.643087849837315,NA,78.39690271080315,93.03515536042282,67.95209356719424,73.1451141887264,100,NA,NA,95.84122761275717,NA,93.30805120853618,63.786329448815216,99.69370478019655,100,83.93684427676617,53.11940682243199,10.76224188819398,26.047837941215125,99.26066385674815,73.70514055722757,52.154909019774095,92.19472146428865,88.470012510516,91.24351539218193,84.48033573604299,71.10044660930221,92.02237101557908,26.19563203229284,NA,71.41340872083228,99.15136137952992,NA,97.38236510926485,97.90573884294717,94.6858286279938,NA,91.62070224414812,71.72376951481054,NA,82.15799550958624,70.87418853657937,100,63.92722660847324,100,85.45303373634728,NA,12.570318242764355,74.67525389418796,99.71098576541625,72.88004703721607,100,97.28042520992989,100,83.52144759726032,89.60757649825446,86.62279756909737,81.07571775609632,NA,92.36005007713489,94.54990794968273,99.83918715870252,NA,53.58826205282641,91.77605183809703,NA,88.38650370491588,51.698009083258256,23.855004224134767,99.40210833429717,33.88069403610308,37.84149910121016,58.47767782957914,87.37513422233684,100,81.80421726018837,93.90405360262251,NA,31.758221516103635,100,42.11260410794916,98.90627724217602,99.37334199778081,96.6303677554612
2004,70.57276190934351,77.77402848997413,40.62191120262882,38.68848603735381,98.21953581999516,100,17.959945671462595,NA,59.2091696497023,75.72485200818929,56.926217239625984,63.354487858811815,99.12974337169959,NA,99.36594133249513,72.91763193608209,89.97161874049219,63.43686649356819,32.39665337919164,100,100,65.22432343094182,55.30636019019042,5.673144624298276,9.81622281762229,100,55.308903995647526,52.930401658183726,67.95353302414739,85.53009791361991,81.99900964032565,75.87881375181877,47.88940105739683,76.96958522953688,13.369860661301514,100,59.58258398744306,100,NA,88.84228670687611,98.04014698374864,85.28585284261828,NA,64.07247383506466,77.71494783355045,NA,74.62773769287337,70.68771589926085,100,52.67246918673507,100,77.13173726210603,NA,8.616027533868397,51.78904716605559,100,55.45132493544143,98.8285816965441,95.44058307308279,100,85.49086694352297,91.16658705920844,65.21354662013908,73.45567139959974,NA,86.36875464698392,85.39744612256122,90.01173695902064,NA,50.634773914092314,78.41240842655193,NA,62.252304505009725,36.70165261211018,15.471454333674084,98.97954507223932,24.549059115669625,20.629295903603186,70.70126579410571,77.05001707395644,100,60.69853941847969,81.95558468644303,NA,28.36479189793807,100,64.70521839955433,93.56594615675782,95.602786346217,99.53867356912608
2005,75.1281547063196,78.76739531313984,50.81955405586481,48.99174347442332,97.91353720644732,100,23.73908630277295,NA,77.63748005273074,87.53633110482897,67.61985778105701,67.92818832960744,96.3299077435631,98.64838262307812,93.84942374001184,89.24966642408,89.08078360396631,67.60564635762869,47.88528325932933,99.235020787578,99.05372305428291,79.56343477921354,41.107182090629756,8.633901866192273,18.377225100324747,100,65.84002003537304,67.25013008821551,68.88055518265797,89.18715328479263,86.472549605385,86.4821347679671,49.97159288784341,89.5317081961577,16.542578640069628,71.21218756734531,58.85887407682847,99.0057834077208,NA,100,99.33329799346282,86.63342985542786,NA,90.97703030690354,80.47680427677979,99.7018727933739,94.01626364614908,85.0949740055326,100,60.351800801862666,100,69.33766637434823,NA,13.244978592812352,47.69740785293879,99.2414643024712,51.96318504114635,100,100,NA,84.59310445323865,96.47799005581345,53.771369391941484,85.84187500374627,97.55727440014718,95.45854782270513,76.85686463980882,97.23280279438804,NA,65.5816044708818,83.47882257758354,NA,50.4140547959546,52.78586364265171,16.719764715347686,98.88363411125633,31.559708633611507,29.749228368658322,65.40221941741908,81.16478025128032,95.67116552500214,79.25535708058608,73.590506579604,97.01764034795481,27.756768720126068,97.86839241820802,69.36510435779076,100,99.95238309237789,99.62365961580709
2006,67.1130561008988,48.21878728417077,41.146760596566345,27.567089727619898,100,100,11.382106519448865,NA,52.41589473833208,85.4946227883267,57.44311807745412,47.30726358744515,99.27398459601284,56.377956717680455,97.9491815080619,87.23797876225044,78.30979856154487,46.97645103272625,30.95690023123425,100,94.90519861959868,76.02705642303297,21.109651100282655,5.054544975615283,11.625164576271219,100,40.16028910161109,44.48084533886308,47.73521037797393,92.34337822747732,53.00140188556226,41.279008516845096,27.191072126394488,80.99332712529191,11.620918354352805,100,47.14858413187453,99.14799535439344,NA,100,100,94.2877257114699,NA,87.76320054915446,86.1810358143704,97.42283536797885,69.18086973018728,94.04380368021825,NA,36.207519142674805,100,89.12476356741973,NA,6.60031244731909,76.29030911666776,95.96495185108377,38.39911747304239,99.60271468706867,97.2411866375166,100,90.74469009039818,65.39785805783187,49.12994762218745,69.07238005506832,99.4793364628178,88.57037214787046,38.10585720099808,96.31015228107485,NA,38.35211838295651,90.09717625803984,NA,39.61397490001231,45.39665238858694,9.832253573755667,100,20.681144885557188,17.633174896470848,54.330692052849884,75.76506065934956,97.55799449423557,82.24912458245083,47.53037994716078,100,13.166902925872826,98.17833272841546,48.62500031393097,98.18287005371238,99.07526657160936,100
2007,62.51673458863336,39.53852739514956,25.059078560306002,20.785964627901656,96.62656580419198,98.02106656576348,15.539251411915556,NA,31.31985345313595,87.834952442327,36.79484087295717,50.6319084332411,94.38335602752726,60.494961855390386,97.40251960493353,80.0224559360153,56.098525030175935,57.693772640431384,23.343725880533995,97.26484349661729,84.63448659184448,74.55133059746095,21.474953661641717,5.387358409429499,14.725890130780428,95.79465515980594,33.716497157256555,32.60440455085143,42.54528413628507,51.437943453300974,63.124705140298566,32.755295484272004,33.20161091716023,53.43972593434656,10.940121318072793,100,60.653006155309,100,92.38724456298526,95.86861821993229,100,75.53998305686878,NA,62.96009018706935,95.44847015495316,98.48433267073493,33.32229511202718,85.39000719871488,91.4986695398448,29.59881106266653,99.53578994883847,98.46646832155722,NA,7.763104280216437,38.38069612652393,98.92188418999478,27.546447795879892,99.28367633295531,97.9574972509002,100,62.319021952626215,48.628726791721334,36.3133639799645,51.192816386162384,96.29921085993008,59.049889382709466,47.1095231494457,100,100,24.838469838494525,93.13626215798303,NA,29.621143784833425,35.69809319154966,19.801142672059925,100,17.07131184838425,21.090330601023098,37.55167009726343,74.89752525220243,97.59331746557714,90.8662608373938,34.35423266777629,91.54702128303875,11.20928143147889,100,28.058312165569077,100,97.47798738735456,100
2008,53.014404165033255,40.612753114799574,21.524303177205194,17.24448062105107,75.55801963040464,93.93207862120573,17.467924686338442,55.87861672180991,27.341205714272697,56.38766129416276,33.43739447321871,34.555616962639554,80.6333475918908,52.19301974744926,81.37905697354356,39.21288859903369,40.48863555688813,34.29651967197734,13.665422717720865,96.5085415183786,69.5633272973537,47.352468125466885,13.609646995611014,3.7928995464298065,13.254311010325438,100,26.421108837783613,35.235300717801834,32.509802130310916,93.38557584426306,46.2266989359587,46.45113847087734,33.05480402408724,61.58248842383642,6.609137642490326,79.56428067750949,37.71422037026515,83.78056063256074,66.41805269358179,86.93569653026564,95.22702435850863,63.82581821033685,62.70642816810663,50.74229101477394,52.00992330688696,80.97009576577018,60.96143204908828,66.96591611534002,74.51939193640712,20.927482068762092,92.25603471009379,56.776716602462365,24.70968735701824,6.331450719099696,24.944271501063355,98.82526420862374,21.630902840139377,80.09053706325847,99.47138323634421,100,44.44996853215646,43.39320374593703,26.602303707852382,28.66886376274436,83.36526095870639,37.36325465063726,34.33314281523423,93.00789102234717,73.76170238809814,24.16271576214276,70.62777474547796,63.11833927991625,27.774117755783557,38.79308579313181,9.722575365695995,79.54555912894182,9.825723338156568,14.994605805534732,48.58119203394129,47.996799109598555,99.3205572163804,70.20262192015817,41.10876262716485,73.15894411127928,10.331815507052278,87.36409250964485,32.37891685602779,99.19086632985656,85.65260414174904,89.81365223375848
