Year,Div_world_mean,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Botswana,Brazil,Bulgaria,Canada,Chile,China,Colombia,Cote d'Ivoire,Croatia,Cyprus,Czech Rep.,Denmark,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Luxembourg,Macedonia,Malaysia,Malta,Mauritius,Mexico,Montenegro,Morocco,Namibia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad,Tunisia,Turkey,UAE,UK,Ukraine,US,Venezuela,Vietnam,Zambia
1996,83.81351521691236,71.3042409188283,68.19818909769135,58.422885884698495,NA,100,54.98763883674561,NA,94.01687067039431,NA,77.38395504442312,94.251952314644,98.11530502273702,85.19884177931694,99.37869109434705,NA,NA,94.3605890196023,87.9570300875416,100,100,94.72207591167773,60.61009835527934,50.46261992197996,43.650311699957655,98.44271485609966,92.89905630194497,63.50725596973517,91.03360784664055,98.4753395096677,100,NA,70.57951887268085,90.34787941274935,81.28060146779798,99.6479951074248,88.58479885978713,100,NA,100,97.15705161657628,NA,NA,NA,NA,NA,60.12609091815367,69.21370977489444,84.41120740478857,86.74917606851356,NA,87.97815920246845,NA,44.62525693835049,87.82719121544086,100,52.8519245194632,NA,100,82.91704564790514,94.56059023410413,83.02065708913531,93.59978077382084,96.23489652575063,NA,NA,97.89914136924803,NA,NA,59.55136188146226,98.85010779380411,NA,85.36872250782905,96.93707826914218,72.03388793262803,94.21860353550761,56.18448524902121,54.45176116503172,96.84557533622696,87.66497721931458,95.0308892653832,NA,98.81266875625457,NA,62.674609522187176,NA,78.44830228559228,100,NA,NA
1997,72.69984757881231,40.03859794960283,48.46676620740005,46.12553619666413,NA,94.00485745359198,49.02099664247831,NA,66.15498296846154,NA,43.075906069877234,59.25650483246023,99.53888553089143,96.96830313081261,77.50485942722602,97.22428577973989,NA,92.31610575698639,96.65418143071864,99.6249447426037,98.00466800925862,91.31666745256763,30.855511289985138,41.2858473553011,37.16861888121619,81.92759491183027,94.57227214858385,47.61200275761046,61.65384205033977,100,98.65086400984028,NA,53.651337445879,76.64750107740545,57.09034604323373,97.45811853437503,83.82764585131291,98.68587135785022,NA,97.4904825604847,92.79751415595081,NA,NA,NA,NA,NA,76.47997179598104,71.74372499702231,98.12101863924507,39.64062184665487,NA,89.13533781509435,NA,32.22936118805193,46.016435604820536,100,51.317368212174955,100,83.97567039261212,NA,70.24459277444878,81.05388986269666,58.946660319582456,50.49366203437686,NA,83.15176602046317,51.29950816687029,NA,NA,47.37950914738109,100,NA,38.859496431233275,88.2803256830341,45.173762363967505,92.63715978580753,33.65909589179801,41.247003703637006,85.46614271370586,88.07295122950161,93.25977104820467,NA,91.16725197668734,NA,56.81651334995345,NA,59.19714702014544,79.15164775273195,NA,100
1998,68.8875025673696,33.78125723280687,54.04337415480914,45.85225786877047,NA,100,39.52510481467325,NA,68.89921991694592,NA,43.200754045864045,51.823906263347865,100,92.80706559255799,22.51092421187686,79.39468256460498,NA,54.148953098159126,95.67761332548932,96.68638199883515,100,98.83602026794439,30.11787490172313,21.128900619458022,27.25232282845309,91.92199721461382,70.40989257702525,47.29810246463407,56.803982462598576,92.02285501184065,89.25848931727323,NA,63.23713726842421,72.3657926510459,30.61706293857681,87.22920774002169,66.53771155149697,100,NA,100,93.3041175527879,NA,NA,NA,NA,NA,83.35878594591166,100,80.84331892479491,36.17913080613814,NA,94.89161235361324,NA,23.537415884178536,63.62605376422088,100,44.16743435308782,99.00076231100391,96.84856416215355,NA,67.23378457484152,57.76838739308173,46.51787997540967,40.99589988793066,NA,100,69.24250987769331,96.76321421403456,NA,44.441341965055805,100,NA,50.42261012212238,89.33467748483012,30.09225870402371,96.94624810437357,33.52026721195469,27.496567462248713,72.87541214685514,52.28617768693846,98.4445840880667,85.06222822700276,76.33537995235747,NA,35.882417418942914,81.63691108101197,47.62913821151141,83.99297560752942,NA,98.05826735629401
1999,79.28077426872375,60.95131779675644,75.1531859191245,69.46801282506055,NA,94.55923270275473,50.945184058537954,NA,76.40940489880398,NA,67.75969437242689,71.31520244670723,99.45010943160031,82.51363335558443,73.60617164236032,90.4685200673641,NA,82.93637995093619,90.8219861123547,97.31564730569994,99.0965300533922,87.51739352115689,61.83778993470176,27.637832867961,39.82488786431135,100,88.05242942836324,65.81930300341085,75.02415154710737,87.22363393128586,99.47391891880967,NA,75.65071620786273,81.8289231997793,46.45761877203858,81.99804391530873,85.01442045270964,100,NA,96.8472921859549,98.11792557263009,NA,NA,NA,83.18457818150392,NA,96.93893662558744,96.13928079740013,67.84541303514013,51.70041994997317,NA,87.05010564524169,NA,31.226264111294523,81.2481847253941,100,67.10440557772623,97.11803213434918,100,NA,68.62764410814306,74.25226675058283,69.56972016163459,76.66859719657089,NA,100,89.18674332507305,93.66711789790814,NA,70.67153150458529,94.93259084646192,NA,70.64074077542394,90.139815937726,40.69262253642363,100,53.76758010651601,42.747905825103885,95.55423307698194,74.35834402325044,96.84036433468658,85.71198514408697,98.1684920404647,NA,48.83359456019014,86.02398079348693,75.03787498244449,93.3522975162877,NA,98.83681458888573
2000,75.67117805362997,56.928561213676765,62.700217004772874,52.934810403450996,100,100,64.42645298566293,NA,60.26692561537643,NA,51.04081321826115,75.90744370182712,100,100,29.096151119087633,87.6895774761642,NA,67.55418333394478,89.8313024613648,77.40380105661342,100,83.53509466216072,49.91999949985279,19.778747910168825,25.09006230234494,99.49697102124043,84.32791092178265,48.9717727384197,59.037358423930584,89.25648328696681,91.21184184507143,NA,67.79529439795084,73.22906832265942,30.38756858993983,100,81.48436326747981,99.13020846945749,NA,97.16126303401127,100,100,NA,85.34285038310975,76.51688596906428,NA,89.9843802495611,78.45851301216051,79.08474157817224,50.14023998186787,NA,85.44529672387515,NA,24.118574600296583,82.58047934516568,100,51.57198062942864,100,96.3081092999112,99.64905620389202,80.68317642675056,83.9093277119041,67.01284297961917,53.556884586698516,NA,95.1771377255657,68.53237264002182,96.43118345102471,NA,61.472561494918544,89.84226640847342,NA,57.685197776108744,67.85162103226061,30.404038457496195,98.24167071786587,50.03000764463999,46.38371799930455,93.93342230654235,75.71582918565227,98.70147898708201,90.21249162526146,93.98422514634545,NA,46.01757264738533,92.53220733671628,51.008515082426676,86.89442644566789,100,100
2001,74.36637195508287,79.25573255336757,69.02966220067748,52.09126176788209,99.91535866550787,100,32.250627835321446,NA,75.83910045677442,96.18953997660519,45.28068332412778,66.29575498718563,97.53386710287494,NA,100,80.19144496013728,NA,73.5647965907655,56.67258234943997,NA,97.02878777821587,60.96559088589828,50.731618883732665,12.19555357773432,20.433800110128676,93.7837554064578,72.57354101191503,53.537641164880036,60.95761667112575,93.6666388794443,85.39532571492275,97.41174798963749,51.30576081836663,73.12013110021435,17.880177560016598,NA,70.9132862318759,92.39513941286516,NA,100,100,100,NA,78.33720173227739,70.45297203731951,NA,82.44531088726232,80.51171499750919,100,63.601415289200716,NA,94.41396606024493,NA,17.24207541509486,63.89709210475301,100,57.08579069218743,100,96.13163346343795,94.03152375724618,80.24658436316551,93.33667046657023,76.27347112800676,60.21796267962293,NA,100,79.71557618964434,96.11990713566698,NA,57.741904826472435,88.61162736323898,NA,71.61793810661015,58.722883188989236,23.82085968953297,100,38.62465004653994,30.334032771591456,84.01193089240098,80.6442855101918,100,81.75584847753287,83.90927819375452,NA,28.120741876194934,100,40.05807525730823,100,100,97.03644606354744
2002,74.86414779952753,98.7120197798029,57.06162658762858,70.88466221794059,100,100,21.34879955128801,NA,87.95279985541067,99.78363374015305,36.06958791789923,63.58626356205019,100,NA,NA,97.54139139768353,NA,87.53723751850568,46.15980358715341,99.26391308967368,100,85.21336386689701,34.259033050239026,6.738022369732288,23.049264901397525,100,62.89067041938434,56.78944741756404,72.76488566559706,86.59265075765316,93.57564374021963,95.15160308463213,52.962341878868926,92.75822314296713,17.229282034629577,NA,78.19728866698848,91.65563545711193,NA,98.90489138923584,100,95.72629674824364,NA,83.96358611665529,70.96125183715988,NA,83.924725218389,83.70549991049647,97.0322276636885,52.88845369681686,NA,90.15631010991015,NA,11.621637554917896,62.80993789796061,92.71040168715949,48.92969996966217,95.99253729914243,100,96.9728162780656,84.4343991924009,89.94316710607377,87.543984809385,56.20755689024578,NA,100,71.48554747013213,100,NA,59.8334871412575,93.00674030353187,NA,79.42334288626998,55.60669316557245,21.93655311204903,99.8449797634473,27.616979707772348,22.720919062398725,70.83905376722048,73.24562987376049,94.24742148270107,87.8854215822997,92.32991936415777,NA,22.591058912328354,100,42.03886073498393,100,100,100
2003,78.32990480657351,96.53566163942664,66.8233135000444,70.53619999302025,100,100,30.08258152572655,NA,78.06931968702841,92.63408351804708,68.05055567025946,73.38806058695396,99.08130580461105,NA,NA,92.6695580771953,NA,93.68596372629018,63.498555731874596,100,99.8276133728567,84.1837942090222,52.424730698869645,10.6955076740199,27.76738121402873,99.92394419747183,73.49573708578895,51.57933474927343,92.30160797561582,88.78742741823338,90.93875401512949,82.77475428683452,70.08527548897709,92.37567846613689,27.544990445447116,NA,73.67640072183438,98.31732734422852,NA,97.20224220949827,98.13369019075073,93.99996792991264,NA,91.97734712716155,71.601798019089685,NA,81.99411570954797,71.04831042447123,97.21516516000702,64.17494336596316,100,85.68872233641895,NA,12.253734455283293,74.37740085802467,99.85440721095559,71.48920757401207,100,96.24349001872886,100,83.86531827819354,89.74638693234876,85.0233299144661,81.15018893876005,NA,91.802212978405,94.42505240977884,100,NA,53.56789334826989,90.97316900054624,NA,89.44108340086918,54.53840797420688,24.14901540405814,99.87525637192753,35.82488182521948,37.881452234485536,58.71357785358302,86.70811063764636,100,82.05471028836233,94.25559237375998,NA,32.25504062860532,100,42.35440374267952,98.93121991402967,99.59840078295277,96.92809865236072
2004,70.14975278386365,77.46968684067139,39.301683805646135,39.01673372276586,98.9704892971504,99.29798005426973,17.636993287534697,NA,59.37548858178796,75.00315392738379,56.99686931618765,63.56573255471846,99.5044415089888,NA,94.2889116117706,72.82789507959016,90.48047838677626,62.20870859208022,32.70407112270528,100,100,64.67731526336988,54.69582467275082,5.696088350696716,9.744781885059838,100,55.34240710286822,52.61808058282188,68.09898535251622,85.72061092575122,82.20163062767757,74.62218976270151,47.81428350713342,77.20013433740118,13.714930735016628,100,60.011318467605875,100,NA,88.87379607833667,98.03397099388455,85.3982809552423,NA,62.927895020340294,78.01097837154494,NA,75.82088194292243,69.49964823793748,89.83435945923321,52.77829636431349,100,77.32442947435447,NA,8.426731782088481,42.88355557183028,100,55.99432322599562,99.06272510102193,95.82831168499169,100,85.20367081002061,91.4648806628697,65.22363601060552,70.920219248273,NA,86.60723179987366,85.11931802777328,90.43317257741948,NA,49.97276337173717,77.96331160590056,NA,62.35886093204629,36.95589934450532,15.285785324648959,99.47038375353634,24.007416509680766,20.931675875397993,70.45426857813356,76.94431988190257,100,59.35934400366304,80.31242648194701,NA,27.97701558044069,100,64.77289859310102,92.87356805626588,95.87551855684697,99.83680081120238
2005,75.02517449560037,78.85234520154494,53.584346518784066,49.15071686599788,98.23202965340147,100,23.89602012883667,NA,75.29237723584448,87.68962658856435,63.64475202758526,67.87980859894417,96.33067476170768,99.32607330104753,94.39730323722576,89.61606145539693,89.44294364132938,67.85774886559169,48.11073512419184,99.57937451751134,99.43306772415174,79.88664682245738,41.06895441157232,8.31321022443171,17.305447278382857,100,66.08255664200794,66.74575904830348,69.14160787522368,89.14101563424545,84.81260860049048,86.74832140939459,49.82920707943763,89.6444304517777,16.791540891255053,67.51602218074332,57.330395041329574,99.17765259541036,NA,100,98.62008478205931,86.63616727303572,NA,91.11035124382055,80.59327263914398,99.13642986994992,93.4162078107881,85.44123205723231,100,60.41058928426693,100,69.61189111998685,NA,12.953360146291015,47.847727082627564,98.014036120968,53.63551609679175,100,100,NA,84.5951703871993,96.86648099333524,53.89919755746552,85.33465117706145,97.85529030033993,95.83723526385523,76.61824988904783,97.75931845049921,NA,64.28261195564976,83.48607835516151,NA,51.62448731919936,55.23612260890525,16.481695951656693,98.39791656844416,31.984774555375537,30.00654424331727,65.61644317939339,80.41464633452,95.60172279915666,79.57260957524906,73.13707478321152,96.72575729275985,27.472010491292863,95.05337384940582,69.63765958493615,100,100,99.28893801170872
2006,66.91140233136574,47.6881971790476,43.081150985545534,28.786759758863013,100,100,11.421424490124254,NA,52.6131726182928,85.84630519862536,57.983675993349,47.50505959048359,99.6531548579725,55.353819980066056,97.49810666490973,87.53250899446962,78.6165124272022,47.12191420558215,31.06172659931947,100,94.87967190313884,76.25737521124219,21.189105045856294,4.791068874797421,8.61767824164782,100,40.206204116966894,43.20403556386807,47.18433208376873,91.99562077763352,53.06627623071714,40.10586352145828,27.413917288230415,81.2867906053368,11.043279195335188,100,47.82983894958554,98.96676314500624,NA,100,100,94.63287501119481,NA,87.89633310036066,86.5187076883306,96.04483865117051,69.10574890856583,93.66055887751607,NA,36.29006343997846,100,89.0667278236078,NA,6.626466308931834,76.5898994477211,96.16163472859846,39.241833371300736,99.98321944968495,97.50123729163344,100,90.7822702069335,65.59767814554253,47.42412959857148,68.74381939657684,99.92386196149616,87.72327292167644,37.931462864956615,96.87419273136977,NA,33.12142506913084,87.51959401427905,NA,39.83840767242126,45.401532440490065,9.637373085868928,100,20.241027738703444,17.42834071252538,54.519239944755306,74.36345032540096,97.38318561231928,82.55444477941549,46.994599761944656,100,13.240519727795386,98.25130500583356,44.099762166793454,98.5836112835616,99.43502960659067,100
2007,62.323460648385016,39.31830769480589,25.929182985177356,20.494325591788133,96.61329862247831,98.4736112982889,15.617876300134936,NA,31.301841289198595,87.92650700336664,36.29332271793358,50.69752052105082,92.40486600352634,60.75917880601399,97.87071121511914,80.03122452756749,56.269010730509436,57.03785805952408,23.377522734074883,97.42686009017577,84.262291793401,74.83285856730856,21.21234655805765,5.322529445500679,14.7613127905461,95.70016348257549,33.85697003030332,32.9169161499312,42.24892079505285,51.62535942786952,62.98059309793504,32.675131797392694,32.50377133200064,53.626947780753845,10.90566927640657,100,61.03655161320226,100,92.28618608299467,95.67628236825941,100,75.53515550347494,NA,63.21502414718777,95.80678183298824,98.70552098244151,34.4578865465742,83.55234698444985,91.97004450857575,28.54684100903071,99.14828622081411,98.86630871832064,NA,7.842834034282942,33.180826993476046,98.65083024046234,28.125665284517787,99.43393065178913,95.45972625848954,100,62.14945542574157,48.72684736466783,36.354632462608905,50.79944102186925,96.58326460680154,58.86308708434742,46.899175038208554,100,97.79026441009407,23.480014207116717,92.14967073246761,NA,29.276897877885254,34.73047020410491,19.87876585942726,100,16.679081368086635,21.10805411571072,37.7073805085744,75.19742133507334,98.02206374964068,91.0998667716489,34.48613718134885,89.69827605182553,11.183461131250061,100,28.707155978984943,100,97.15143212814014,100
2008,52.575633945944674,40.47284702185417,23.420198386656754,17.568392065762417,72.21624333313687,93.90681713363243,17.17452267362807,56.1798590177318,27.473870942850432,54.36147133202163,32.54958444754254,33.272261517653725,80.96305247983476,52.452882568154344,80.20827210994645,39.18166231857856,40.65497544670714,34.18305478329204,13.31467324286656,96.90269600284596,69.66427377538308,46.276710230712666,13.631034467078361,3.407489305907463,13.699325121082584,100,26.41162942960966,35.207974933575706,30.960535144637745,92.8757694726484,45.36442439301983,46.52651602767344,32.85831843730118,59.74671946731285,6.444765553910326,80.17465547918582,41.09408213084765,84.06913063262009,66.5687176920194,86.85307471480816,93.47509996929855,60.84436602242893,63.552737287777624,46.69461567590967,52.17318118189284,81.21389741514238,55.46148769514585,66.77953397221846,73.6676354571212,20.943099850154546,92.50571135515423,56.89434449489151,24.680130554651626,6.29230698653791,23.300876569150287,98.8292523500192,21.70086153831956,78.29405368520838,99.4687036562981,100,44.63274071498476,42.768473823374585,26.42241973750272,28.716438491150686,82.4439007812282,37.348195028046604,32.646462173412125,92.44638241769985,72.08104378340612,23.860207925316345,70.58288880744907,63.23677749886622,28.324150904508905,38.51332258754772,9.73963928929329,79.82465125984614,9.842978125580526,15.174194988883515,48.39489044343104,48.09490338449744,93.38591907399027,69.0285813242952,40.54035286602933,72.98305781942398,10.300296991817104,87.53308691683868,29.793187106758733,99.53529066961147,85.7918508971503,90.18075640578303
