Year,World Equity Diversification Index,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Botswana,Brazil,Bulgaria,Canada,Chile,China,Colombia,Cote d'Ivoire,Croatia,Cyprus,Czech Rep.,Denmark,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Luxembourg,Macedonia,Malaysia,Malta,Mauritius,Mexico,Montenegro,Morocco,Namibia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad,Tunisia,Turkey,Ukraine,UAE,UK,US,Venezuela,Vietnam,Zambia
1996,98.5365534534304,76.9054708075817,99.751989068973,100,,100,100,,99.8866914992102,,93.2804658478561,97.3300705799253,100,98.8048212789799,100,,,100,98.631408070153,100,100,96.3638550828539,97.8249284634084,99.7350040904469,99.9285525283016,100,99.6277873202665,99.3484546539758,100,100,100,,100,100,93.3093894674929,99.9405493393639,100,100,,99.9116077747352,100,,,,,,99.3889715181445,96.1766958643312,100,95.9693755577785,,98.0812153549486,,98.9132654763241,100,100,100,,98.8685089495939,96.0042913010073,98.0968593115794,97.8292008571678,98.7628926430837,98.6376555698394,,,98.3557430625893,,,100,99.854781724195,,99.63819823524,99.348492809905,100,100,97.766959012588,100,98.4368152771788,100,97.9891944899557,,100,,,98.9752066084517,91.8288714245591,96.8351800975571,,
1997,82.6178192825354,88.9814661108248,43.8993491969339,54.0110318856546,,97.57444952975,66.6386100423243,,94.0011837374606,,75.1701234693132,69.8314832123554,100,94.2375966631926,99.6329986325191,99.4202790149758,,99.2784148066886,100,97.9382233291479,96.9309857335691,96.4437146971108,36.359000849645,53.1375541189412,50.8684160080812,100,95.5453472066469,63.2852759703285,66.1761379075416,100,100,,66.2664219963799,88.3703213339951,71.2586569742115,100,85.054478893005,100,,99.0732113465995,98.8996705880956,,,,,,89.1611701253589,98.773642022793,100,76.4564179662421,,99.1094740048395,,54.9477616362048,60.1143862546215,100,64.3233234524581,100,79.9411960434639,,85.5396349821655,89.0288140067067,62.8659806876621,53.3160576096737,,,60.6623241925954,,,70.4747235549182,99.6586409992661,,47.7393855015234,95.3522496723037,67.4714888681891,97.9860261937608,42.621733974655,69.6843501974892,96.7598810164145,97.0211364920617,100,,96.2127644602092,,,67.230872918553,94.4322886712556,87.6059438866592,,100
1998,85.1395487467323,79.3353887703912,75.0813057790999,73.5928158293402,,97.9513144093881,67.4823610465492,,93.6842046831628,,76.5858721701892,68.0591703847369,100,99.2076133336766,100,91.6367444732541,,69.0957928392508,100,99.0260419110525,99.9275530887212,95.9052021955252,64.299630332441,61.7984438869583,65.3934176973208,100,83.5633297379424,70.2372934451033,66.1500172806389,100,89.1574987183526,,77.7734561541959,88.1373625879928,73.2445737955133,100,76.3262645992764,100,,100,99.0524358697173,,,,,,89.0550007543539,99.9091659507415,99.2725118007311,76.8456018021714,,98.6833594794603,,62.3851920984875,75.5592306825824,100,73.2492919984513,99.4245710784843,99.3227937527583,98.4165175681422,86.929990405224,72.1853463453028,64.2279305116289,69.7460175113615,,100,79.4822469535838,97.4788326462115,,62.2896104782335,100,,68.1261166248198,94.44785126708,66.3586095491217,97.4050964100958,68.1807386077962,69.6703116139623,87.0169295145849,66.7305964461527,100,99.2826243012334,88.9857618931978,100,,60.2430940418755,84.4172134167617,88.0755162886799,,99.7991842049317
1999,89.3177784234191,82.1013448120509,77.6453950852036,87.6337812622494,,99.9782627134957,84.7873552079987,,90.7361661285956,,75.7589864177877,77.9383529994156,100,93.440460319564,100,95.5071457988498,,91.3835529560121,100,100,99.3202362715918,96.4471693529248,75.0669643809526,62.702097792037,68.7650855668514,100,97.7412417419187,75.9005239314246,75.4388776566512,98.1269610370054,100,,87.0880020677052,85.5411028602586,71.1778965792715,98.7002954912886,84.9317798068288,100,,100,100,,,,92.6411094720529,,96.7572282254984,99.1850937400249,99.924398892401,82.4534206302717,,99.9809531331831,,64.0263442091998,86.2553394729146,99.8362058252143,79.4129886727968,99.6214763644425,100,,81.2616491952196,84.5246924784413,79.9266909194464,84.7174864841551,,100,92.583949207529,100,,74.1527936996911,100,,79.8454904791602,90.5373060958877,73.0049763045262,100,72.9097616441792,72.0817830791126,97.8316118553462,75.93763385821,99.827344820518,99.7709319238762,98.514843119729,100,,60.063621998863,94.0162596062603,96.0998444166729,,100
2000,85.9897468920168,80.02387902656,77.1846083019301,91.2838815449688,100,100,93.3742705841772,,79.3035694880479,,72.624641713042,76.4607267368914,100,100,100,91.6140135798389,,73.6147092807286,100,100,100,91.8241325274212,59.7904003099418,52.1883717721744,57.2381333113662,100,91.5995814225947,67.4655842095918,68.2773525885135,95.3119525925858,89.675484203346,,80.9845357191676,74.8756853952397,68.2692096180474,99.1130887067909,89.6591576569025,99.7202967475983,,100,100,100,,99.9799999201568,83.1046798408592,,97.1838702558456,100,100,67.9889329524071,,100,,53.1639903738699,85.7273394232339,100,63.9140766636752,100,100,99.4017520936049,76.4529097505881,83.6086258003428,71.2800255610019,64.8628195030903,,99.0608607314675,68.3056128112532,100,,70.8715494466134,100,,58.7665370488946,75.3557699004768,59.7179097304862,99.2454956593616,58.5132605221255,78.6757127095371,93.5339464436946,86.8444034819164,100,100,92.5858267068645,98.9781827818027,,54.4526419304961,82.3428929356298,89.8238717765143,100,100
2001,83.6950534505728,94.0537481442328,76.5523949990655,84.3396673002347,100,99.1618273327379,60.0513518800022,,88.0274876988382,99.2910502012726,79.5170009952289,82.6577562999894,100,99.0702715887743,100,88.7450716070641,,75.4598909961552,65.3856845458576,,99.2976865953897,74.2072728673494,57.4435749485094,31.5229284370972,43.2461691301217,100,78.6172357805109,68.688614513054,59.6670958507485,99.7200659232856,90.3472797396917,99.8745587503987,63.0915849219494,75.6640141977051,42.2871197052561,100,83.2517670045143,100,,100,100,99.5961832794268,,93.4946661976682,80.382102891752,,97.9543290037009,99.8468865891544,100,78.5694446220963,,100,,37.8125643730368,82.2762555417725,99.9193608924339,57.6848151707235,100,99.5093160690206,98.7417413050485,82.3833322469768,100,77.7392579651794,67.1918801511368,,99.9454530967096,90.4403160611717,100,,71.0309710117983,97.5006693172841,,75.091285947138,86.4213242006459,43.0687336127795,100,40.9408402237529,44.7513605182896,93.3698148482719,90.88600904829,100,98.4719108903623,84.7851959676472,99.6854380870721,,42.1051971585458,73.6822874501875,100,100,100
2002,84.7358186103971,97.6683367273481,79.1746432299245,84.1550550078866,100,100,26.8763607246251,,93.501287107713,100,65.8874613811563,79.3815058799746,100,99.5289946386058,100,100,,88.2038971967515,56.9633195890474,100,100,88.3917816236548,48.3256750953631,20.4328951416752,52.5460390994214,100,74.3024705730445,87.1686281312912,83.1182893404627,99.6015797291251,98.6717085232823,96.5018582797587,53.8967208193659,93.4523938573063,30.7933032733797,100,95.1357813974316,97.5220602681891,,100,100,100,,100,82.8277972240613,,97.2897976923652,100,100,80.2619390949036,,100,,21.3598698435519,86.7239928188692,100,57.6603365499014,99.7906326550696,100,98.718402093172,93.8491210026343,99.2711924300578,86.6235847990259,62.0113983989348,,100,85.8765533389453,99.8633268634229,,91.6905362348169,100,,91.0492454309114,91.9332346849682,28.3049412582625,100,32.5960681736372,32.5349414053782,95.5321531577713,90.2808165297237,99.7044878484953,100,97.8820464172891,100,,35.6450501972794,79.6604323959347,100,100,99.2499064358076
2003,86.2068907576989,98.4751795605133,92.1280588902993,95.1246260775167,99.7652636340684,,37.5069911070138,,84.4542761980691,98.5842515280028,69.2313062748392,77.6746032877755,100,99.6509956775151,100,97.9229670084137,,99.8621441012838,66.983539024174,100,99.6128939218407,99.6584300275913,60.1920821576135,17.1317597262947,43.2338410991681,100,80.0034794106376,89.573393320084,98.3412787481992,100,95.8032372244275,95.853307124748,77.1863839077978,91.2198504931001,34.4700067624975,98.5982818245303,91.8507473768675,98.1022929098924,,100,99.910162303224,99.5069537218223,,100,82.9883621639732,,96.8603966199856,99.1283843437862,100,71.364104457604,100,100,,21.4603838740049,96.5705694093428,100,74.7930478052476,100,99.6635781794902,100,83.3635794548662,97.0270035369058,89.007641640467,81.5320489983135,,100,97.5376225224363,99.7181378462313,,81.7884668586587,100,,91.5065241089722,86.0373933287173,32.1508554114273,99.725375948903,36.7725790929776,32.6339195166176,90.2711001236377,96.5400528708131,100,100,99.0826085334467,100,,34.2571411305998,67.9234491683603,100,97.4963835590237,99.3241841658862
2004,78.3944086519216,85.5882888200066,55.9190046388132,44.9775876595031,100,100,32.2250861926661,,73.8693004238034,87.035961276862,62.775642317158,61.852431978926,100,94.0648373520894,98.0612040798283,82.5607042719819,96.2640906364283,76.3923594689261,46.9710103908925,99.4949964892808,100,78.3904483951198,52.9863864471638,19.9686436148998,25.5500750282868,100,63.7196157102313,71.4606784667495,71.2206408612136,91.6239044554083,87.9167753915296,82.0951370142908,55.0508621783582,75.3382869027254,29.7684372706884,100,74.2489495973491,100,,88.6476510521233,98.7943276211266,93.3979197130451,,87.3965566104551,86.4390284086706,,82.7279856147923,91.2956772050085,100,60.3610674599372,100,92.5001678308798,,24.6239714289312,68.4906513582479,99.6149213200134,61.566731060466,100,97.6440299634768,100,87.5607990389249,95.0226014327507,69.3063545394089,76.9086332371393,,96.7763682174646,96.0551445488479,94.5912397385721,,61.9805201821717,90.3797391172336,,73.480025613472,79.9433382105334,24.9845627443898,100,28.620249410663,39.4996310677818,82.622493445104,82.3044666136907,100,83.7267844510222,87.8410526858911,100,,34.268212211205,79.6771858317554,95.1112558373487,100,100
2005,80.7177821112833,93.2776975936327,59.6806788961547,47.7106558148661,100,99.7228365128051,31.5838413293516,,84.4398612693967,88.3767934346131,72.1549218566063,74.7087247834099,94.7362633284094,90.3002028005918,80.1051495277736,86.3551344818409,90.1594185082307,71.271111574197,55.2869751926234,99.5743033068263,100,78.9134037519088,50.4055950021891,27.5476915319221,40.8525031383648,100,68.9817201291777,83.2289130501009,78.6593310358047,79.1547935120112,91.4655339242993,97.6593719124014,61.4638631178418,88.3202755272605,29.8042243392354,95.4506637087578,68.4404808304023,100,,100,100,90.6613158622106,,91.1528283238355,93.4896878196732,100,97.3526347368198,82.3677345321942,100,76.8467015293598,100,73.4377981297338,,26.8177626722407,62.4426946503014,99.4192364408197,62.5402987479956,99.2999961942223,100,100,92.0627659551339,98.0912848987323,56.7099624060654,97.5116208748387,100,92.1621058931958,92.4962221539008,99.6613737029647,,76.4754126150554,83.0224351165691,,48.3727045102282,79.8687502119317,29.097076099185,99.3324899199619,37.7966735374532,34.0747790898411,91.7841627086757,90.4715835426803,99.1661660758722,77.3191647717473,76.4529176773394,98.7562400576104,100,39.2757612981889,95.2760473349359,99.5130774936497,100,99.2035129283415
2006,74.327150332745,73.1858589233006,59.8260665351363,29.4315408113669,100,99.9087061900371,20.021745803996,,68.9522429958126,87.7517526984391,69.6470243073249,49.1113928920735,100,57.4168835895232,86.9343055829843,87.2206604059727,80.5838665893174,44.9158732764863,32.325941181645,100,97.7775700637163,73.8914190077626,28.7530307824796,20.2889568593856,33.4893597267265,99.8146803771747,41.1203551131646,71.7507543730603,52.4522450837594,90.775581194993,71.9216092204411,67.2236393073596,29.8933687822514,76.8063851603518,26.3285721680794,100,72.377277223454,100,,100,100,93.3827109070384,,93.8038043427105,93.8463263529719,97.932782976815,83.1476761378039,97.686023599063,,59.0298490251545,99.1915636703,91.8827519913434,,26.2015243266355,90.7475536647408,100,50.0087530691003,100,98.5632476576035,100,91.9348124442997,87.8756257605893,49.9239200109907,78.4721453850654,100,88.8583309969715,47.0095117534471,98.118135371317,,58.9773628357776,89.7584824769239,,44.710696751314,78.1409127411639,24.7552281119892,99.6626958874937,29.2264577442402,26.7139153060951,82.7999538073894,87.6133582113986,100,85.9513597488145,57.1209915969366,99.653250874763,100,24.9414966604824,88.3031900926334,96.9812587661346,100,100
2007,69.2413130997934,63.6228793388417,47.4152257125919,21.4690162958388,100,100,18.684486056563,,50.1322264767131,93.2886727846898,55.3135544545974,58.0148816756892,99.1974239669133,63.2792121213848,96.61340809576,78.9811346017348,57.2223479635498,61.9583356186717,21.5280293561189,100,91.6695400832618,72.7266755929139,23.7386079570979,12.7878550752193,24.3295527531173,99.2370485107768,32.1678820407772,60.8206751073653,44.3270654871442,46.8131677268604,71.3476309234746,55.6253420740596,34.645468642594,52.2119279563287,19.3679210653673,99.2413499600967,93.0993089400671,100,97.6821810056928,99.8134464377917,100,83.0193756831705,,76.7164048148597,96.0292407946815,100,56.6597904137213,86.7261673202913,100,60.5300023005,100,99.7564760584116,,11.5555061915656,55.3654677190282,100,32.6410978115157,99.8335486972849,96.7073840879099,100,60.9583725039431,73.5879102060196,38.2806819013156,51.4909204159115,99.4631895686605,65.8807898312967,48.8913830905835,100,98.8046711862707,46.7045973489909,95.733213886928,,27.4455932303572,60.9865597274994,28.2038722222846,99.5614197616004,22.6936323804741,26.2234729765591,66.0518890484395,79.0333266595737,100,91.0338082683829,35.969984771338,100,98.890333547815,18.7857692666857,77.0240199054358,99.8982580234686,100,100
2008,64.5377825564451,57.3627016706808,41.9852703581427,25.3044837468058,100,100,21.761922459991,67.9469371169727,50.4133533537688,71.9966052921914,50.1796686205085,49.8639748573267,96.715834327532,53.0574583403852,93.5140642277657,47.4336140230458,50.9438519469437,42.7516975746725,17.5177156987477,97.67533949317,82.1952233388038,56.28082529303,23.9264492675108,15.7855403374151,24.6301899593541,100,34.0200310908663,63.2394186950184,40.9257128621586,95.5793910848134,72.0549968437455,72.9770249960917,38.5910073799906,56.147260634876,18.0033822074344,89.4928279587131,70.0795053548104,95.5996265131381,69.2496962269234,91.6523584966312,98.2160155506145,77.9509381120341,88.5288728619171,60.8642359293571,54.0290757232657,88.1728966988882,75.9470789561522,75.3466697222307,95.5703108631177,45.717196320849,95.6571743244598,69.5039829647498,50.7263721781554,15.6820742383195,39.924964206826,100,25.2187523746277,91.2543160975245,100,99.586134543569,57.0530859422147,59.5525052009178,30.9188467840618,32.9164907337145,96.0857657963714,46.7229489741394,45.3345465104946,98.4397235179825,79.4977556421408,54.8012614974645,81.1422018283042,59.4817475721614,31.3757594213698,69.0641535362095,20.2454807224493,90.9266718647708,18.824175813193,26.8333785166665,69.2897804105167,71.4467893452103,100,80.7195168016901,46.2508687507993,97.1595971487692,92.4579368438115,18.8970222827591,78.6130071364329,100,98.0880778036073,96.9715278087611
2009,67.4019115591828,63.6999508950489,48.0746347328926,26.3414620063798,100,100,27.9888260008462,64.9564828282984,47.5675601409277,63.5490303971459,41.8817561321396,59.5432775572538,95.9197645462393,62.4504484199135,79.2196303071928,45.2562859915904,62.2904751211162,47.1290755816609,34.1937800083059,100,83.339783396015,71.5478401227111,24.9283688951573,15.3360186846721,20.3358242097918,100,49.4684700992082,65.7609454193392,48.222178131766,74.6865934531384,69.4618748439243,76.8356659681884,37.3121942145037,57.6183865740084,17.8078260744684,100,90.9377681898637,98.3089868552208,82.7332552918403,98.6082089525622,97.4371099297293,88.6553024501042,100,72.1986487491785,64.0074261140692,88.5105549847063,62.6477197989761,81.8989690353946,99.6750312661927,44.6304036745085,100,83.4831702550374,46.4126248161306,16.0261907681226,39.5199372795429,99.9711252332994,33.3184616966141,95.5126172870206,98.9496860594418,100,58.1361427461851,90.1849066726247,38.4000522947104,42.5253841809852,93.8336291623001,56.5893426792584,52.8710184344916,80.7353940898666,80.2812588983531,52.7850311047175,96.9919051043149,84.7558562081184,32.0567570926486,71.0309179998247,16.1650329230154,100,25.8662523546436,27.3860584982758,78.6072821562954,70.0202654936799,100,72.7558500968335,49.5737387265319,90.4675867728407,89.6780240043211,21.4614295318186,65.1700049233794,100,95.5166778921548,98.7567192836769
2010,62.7760625541701,65.5899887029609,42.1287004573796,11.8568633717458,100,100,12.2518747475721,77.9499531529126,40.7841213583217,63.4470501772298,35.2389795962783,50.4566636907923,94.4612243883076,67.8425033644589,73.324486032962,60.1601161545653,55.7431744298387,37.4513873701525,28.0838725518387,100,72.1817575585082,64.8394105909394,14.0846833812747,6.49257433452119,10.557836997507,100,49.5676149647881,69.271491193776,28.8293176905426,71.467219373144,54.536052135218,73.4512132402826,22.3217816504114,49.0433505364393,12.0308760461778,100,94.8207426724785,100,72.2496732657653,93.1060333947369,99.5641282282026,79.2199380324576,99.9246910430657,46.3130744257751,74.1272772639309,76.1064822014328,62.4691501932434,76.8979461930896,95.0214862592367,32.0212736078399,100,73.12860206665,45.3400518545941,6.1307743187422,44.7255569006995,96.9133655562704,15.5683022274264,88.593515937708,100,100,49.8728741018104,87.8973554530867,17.1929243637528,40.2273343854365,92.5882760952205,48.4999923112147,30.2146196429381,77.3387055965671,71.4993488050532,47.8825536055922,89.1511098974651,95.2966955272844,32.4732702628825,67.4711867484904,24.4988012755562,100,14.1928837088902,21.3661696975521,74.9241508521275,79.2160138390227,99.8033117386229,86.7248560441602,39.3912427231815,73.1885289265512,84.9643982255481,12.1352806448975,56.7361606245114,99.886156137879,98.1191621410032,86.6279990606476
2011,63.2087571204228,49.9917453325234,44.8120330011624,12.8279435047385,100,100,12.4192593996301,70.52189461171,40.5646153603981,61.8635233361793,26.8043251920601,46.0303675081572,97.9060882049837,55.7065227571725,81.6182432137026,38.5045035776254,72.4201915449773,44.4190388848996,24.85433821407,98.6895048294624,99.144424504361,44.9361956856928,11.5914645674135,6.4727990451362,10.3447550836128,100,62.0256537867617,78.518167145542,32.5384211102108,67.3167036397742,70.8496351164448,83.0866577627957,13.2247975157519,47.4519625771233,14.7826326022836,100,92.4830965034151,100,85.7661097771804,98.8829507315709,97.2541823876855,65.4036282545597,100,52.4075985191731,28.7755115998813,77.0906468939824,83.2889984180304,66.9170960122197,97.1206200578278,32.3694076727562,100,71.7422347135835,40.0978885246619,5.5751440631625,45.95384990993,99.3956252639491,13.5746476016356,100,99.5078619883279,100,80.2573744910972,96.1669477084884,18.7704982091018,39.4895010250363,96.4587151384325,39.1468498899749,36.8192472926707,97.7455352291615,70.8857797918767,48.5981915481283,74.7987802664198,94.6830187719626,29.789108695979,78.1777069474885,20.7580485056252,98.5792929107309,11.9407107897469,21.2012683568339,82.4256925565819,79.4732826603345,100,95.0289691473204,52.533988930611,36.5622096860623,97.9695882409196,11.3505374485995,44.7200350751355,97.8247875214224,100,97.5782093719932
